tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt20205078,movie,The Other Half,The Other Half,0,2022,\N,72,Documentary,8.5,62
tt14853762,movie,Summer Nights,Summer Nights,0,2021,\N,53,Documentary,8.5,67
tt14209306,movie,Avwanchhit,Avwanchhit,0,2021,\N,118,Drama,8.5,54
tt15287952,movie,Forever Golden! A Celebration of the Golden Girls,Forever Golden! A Celebration of the Golden Girls,0,2021,\N,125,Comedy,8.5,56
tt27439979,movie,Gothix,Gothix,0,2023,\N,87,Documentary,8.5,72
tt28084920,movie,God's Grace: The Sheila Johnson Story,God's Grace: The Sheila Johnson Story,0,2023,\N,98,Drama,8.5,58
tt21634062,movie,Party Dream,Party Dream,0,2022,\N,75,Documentary,8.5,65
tt4879258,movie,An Extremely Uncommon Set of Circumstances,An Extremely Uncommon Set of Circumstances,0,2021,\N,100,Comedy,8.5,50
tt5229896,movie,Eyes Upon Waking,Eyes Upon Waking,0,2022,\N,110,Drama,8.5,51
tt7315826,movie,Yes I Am: The Ric Weiland Story,Yes I Am: The Ric Weiland Story,0,2021,\N,62,Documentary,8.5,68
tt12805870,movie,Rhino Express,Rhino Express,0,2022,\N,129,Comedy,8.4,55
tt10646310,movie,Wings Over Water,Wings Over Water,0,2022,\N,45,Documentary,8.4,50
tt10378492,movie,Uncharitable,Uncharitable,0,2023,\N,90,Documentary,8.4,51
tt12741924,movie,For the Love of Catch,For the Love of Catch,0,2022,\N,\N,Documentary,8.4,56
tt20201666,movie,Who Am I,Who Am I,0,2023,\N,119,Drama,8.4,69
tt15875808,movie,Saakuntalam,Saakuntalam,0,2021,\N,\N,Drama,8.4,55
tt15173592,movie,Ambrosio,Ambrosio,0,2022,\N,\N,Drama,8.4,57
tt1830511,movie,Boronia Backpackers,Boronia Backpackers,0,2022,\N,143,Drama,8.4,63
tt19718808,movie,Sonic Fantasy,Sonic Fantasy,0,2022,\N,97,Documentary,8.4,56
tt31923191,movie,The Hardest Hour,The Hardest Hour,0,2023,\N,122,Documentary,8.4,64
tt28959442,movie,The Great Adventure: A Journey Inside Africa Eco Race 2022,The Great Adventure: A Journey Inside Africa Eco Race 2022,0,2023,\N,\N,Documentary,8.4,52
tt22325440,movie,Tomorrow's Freedom,Tomorrow's Freedom,0,2022,\N,97,Documentary,8.4,67
tt27835314,movie,Tempi supplementari,Tempi supplementari,0,2022,\N,75,Drama,8.4,78
tt25053772,movie,The Feature,The Feature,0,2022,\N,97,Comedy,8.4,77
tt29451582,movie,The Sentence,Thadavu,0,2023,\N,89,Drama,8.4,60
tt23852116,movie,Burt Reynolds: The Last Interview,Burt Reynolds: The Last Interview,0,2023,\N,99,Documentary,8.4,52
tt27634228,movie,Beks: Days of Our Lives,Beks: Days of Our Lives,0,2023,\N,105,Comedy,8.4,58
tt35530918,movie,Muleque Té Doido 4 - Morreu Maria Preá,Muleque Té Doido 4 - Morreu Maria Preá,0,2023,\N,109,Comedy,8.4,73
tt14037076,movie,¿Por qué la vida es así?,¿Por qué la vida es así?,0,2022,\N,97,Documentary,8.3,72
tt13099434,movie,NGFL: Nice Guys Finish Last,NGFL: Nice Guys Finish Last,0,2022,\N,\N,Comedy,8.3,63
tt13891468,movie,War on the Diamond,War on the Diamond,0,2021,\N,90,Documentary,8.3,55
tt11162180,movie,Un-resolved,Un-resolved,0,2022,\N,167,Drama,8.3,76
tt16367960,movie,Anne Murray: Full Circle,Anne Murray: Full Circle,0,2021,\N,92,Documentary,8.3,60
tt21235684,movie,Gratitude Revealed,Gratitude Revealed,0,2022,\N,82,Documentary,8.3,65
tt14187472,movie,For Love,For Love,0,2022,\N,90,Documentary,8.3,67
